pdes,dv,H,a,e,i
2012 DT60,5.086,0.848,0.807,22.1,1.192
2010 XJ52,5.086,0.848,0.807,25.2,1.384
1999 RQ36,5.087,0.848,0.808,20.9,1.126
2010 GY23,5.087,0.848,0.808,25.2,1.493
2009 WC,5.088,0.848,0.808,27.7,1.485
2007 CN26,5.089,0.848,0.808,20.8,1.295
2011 UW158,5.093,0.849,0.808,19.4,1.617
2012 DN14,5.093,0.849,0.808,24.7,1.302
2013 AC53,5.094,0.849,0.808,26.2,1.549
2012 SB3,5.096,0.849,0.809,27.7,1.477
1996 GT,5.098,0.850,0.809,18.0,1.644
2009 BF58,5.098,0.850,0.809,27.3,1.512
1999 NW2,5.102,0.850,0.810,23.2,1.116
2000 JX8,5.103,0.850,0.810,25.4,1.538
2004 SR,5.103,0.851,0.810,23.8,1.147
2002 VZ91,5.103,0.851,0.810,26.1,1.574
2012 SJ32,5.105,0.851,0.810,25.1,1.470
2004 BE86,5.107,0.851,0.811,20.9,1.441
2006 SR131,5.109,0.852,0.811,28.0,1.352
2011 KP16,5.115,0.853,0.812,25.3,1.598
2011 AJ37,5.117,0.853,0.812,25.8,1.389
2006 DM,5.118,0.853,0.812,24.1,1.355
2003 DW10,5.118,0.853,0.812,26.1,1.446
2009 UV19,5.119,0.853,0.813,24.8,1.705
2008 UB92,5.119,0.853,0.813,24.7,1.535
2005 TF45,5.123,0.854,0.813,23.1,1.156
2008 CB175,5.123,0.854,0.813,25.4,1.342
2013 BJ18,5.124,0.854,0.813,20.3,1.478
2009 XP2,5.125,0.854,0.813,25.2,1.213
2010 XW58,5.125,0.854,0.813,24.9,1.605
2009 BF2,5.126,0.854,0.814,25.9,1.062
2004 AD,5.129,0.855,0.814,24.4,1.259
2008 GE,5.130,0.855,0.814,23.3,1.272
1999 ND43,5.131,0.855,0.814,19.1,1.523
1999 YR14,5.135,0.856,0.815,18.9,1.653
2012 EY11,5.135,0.856,0.815,21.9,1.148
2009 DN1,5.136,0.856,0.815,20.3,1.442
2000 LY27,5.136,0.856,0.815,17.0,1.309
2011 UZ275,5.136,0.856,0.815,23.6,1.287
2012 XL16,5.137,0.856,0.815,25.5,0.986
2011 CO14,5.138,0.856,0.816,25.1,1.129
2011 SK68,5.138,0.856,0.816,27.6,1.366
2008 HS3,5.138,0.856,0.816,21.7,1.351
2006 BJ55,5.140,0.857,0.816,24.2,1.029
2011 FQ21,5.140,0.857,0.816,28.2,1.311
2001 QF96,5.140,0.857,0.816,24.5,1.543
2010 XO69,5.142,0.857,0.816,27.1,1.197
2009 UZ19,5.144,0.857,0.816,26.2,1.625
2005 UQ64,5.146,0.858,0.817,24.4,1.613
2007 KK,5.147,0.858,0.817,23.4,1.460
2005 SQ9,5.147,0.858,0.817,22.9,1.443
2012 XH,5.148,0.858,0.817,26.2,1.656
2012 LW7,5.151,0.858,0.818,23.3,1.331
2011 UE10,5.152,0.859,0.818,26.0,1.644
2010 UG,5.155,0.859,0.818,25.4,1.506
2001 XP88,5.155,0.859,0.818,20.6,1.347
2012 UU9,5.157,0.859,0.819,23.9,1.553
2010 RK53,5.157,0.860,0.819,27.9,1.347
2008 CC71,5.157,0.860,0.819,24.9,1.444
2010 FT,5.158,0.860,0.819,25.7,1.090
1994 CN2,5.159,0.860,0.819,16.8,1.573
2004 VJ1,5.160,0.860,0.819,24.3,0.943
2008 HJ,5.160,0.860,0.819,25.8,1.633
2008 TJ,5.162,0.860,0.819,26.7,1.555
2007 LT,5.165,0.861,0.820,22.5,1.500
2009 FX4,5.167,0.861,0.820,25.4,1.283
2005 UV64,5.169,0.861,0.820,26.5,0.958
2010 SW3,5.169,0.861,0.820,26.6,1.633
2005 GX119,5.170,0.862,0.821,25.9,1.726
2011 MZ2,5.173,0.862,0.821,25.8,1.559
2007 UY1,5.174,0.862,0.821,22.9,0.951
2011 SQ25,5.175,0.862,0.821,23.6,1.446
2006 CT,5.178,0.863,0.822,22.3,1.098
2008 TY9,5.181,0.863,0.822,24.9,1.433
2012 VD6,5.181,0.863,0.822,25.6,1.344
2011 CH33,5.181,0.863,0.822,25.3,1.391
2009 HK73,5.182,0.864,0.823,26.3,1.246
2006 BR98,5.183,0.864,0.823,26.7,1.197
2012 EM1,5.185,0.864,0.823,26.5,1.728
2013 FU13,5.185,0.864,0.823,27.2,1.728
2009 TF8,5.186,0.864,0.823,26.5,1.624
2000 QK130,5.187,0.865,0.823,20.6,1.181
2008 WO2,5.187,0.865,0.823,29.8,1.025
2011 SP5,5.187,0.865,0.823,26.6,1.549
2011 UQ20,5.188,0.865,0.823,24.4,1.578
2009 EK1,5.188,0.865,0.823,21.4,1.242
2006 HC,5.189,0.865,0.824,25.4,1.111
2008 ST1,5.190,0.865,0.824,27.2,1.380
2004 EO20,5.190,0.865,0.824,22.1,1.220
2010 FR9,5.191,0.865,0.824,26.1,1.581
2005 US6,5.192,0.865,0.824,24.8,1.596
2000 WO148,5.192,0.865,0.824,20.7,1.642
2013 BV15,5.192,0.865,0.824,24.3,1.493
2007 RV12,5.194,0.866,0.824,25.6,1.667
2008 YP2,5.194,0.866,0.825,23.3,1.531
2008 JE,5.196,0.866,0.825,25.8,0.984
2007 RT12,5.197,0.866,0.825,23.9,1.017
2005 WK56,5.197,0.866,0.825,22.6,1.621
2005 JS108,5.197,0.866,0.825,19.2,1.356
2008 SA,5.198,0.866,0.825,25.0,1.326
2013 EN126,5.198,0.866,0.825,24.6,1.551
2006 BU7,5.200,0.867,0.825,26.3,1.175
2011 LV10,5.201,0.867,0.826,25.1,1.327
2011 FU9,5.201,0.867,0.826,26.4,1.675
2010 VM139,5.201,0.867,0.826,25.4,1.413
2005 UH,5.204,0.867,0.826,23.5,1.626
2010 VO1,5.204,0.867,0.826,26.1,1.379
2010 XN25,5.204,0.867,0.826,25.0,1.660
2007 HX3,5.204,0.867,0.826,20.0,1.527
2010 JA,5.205,0.868,0.826,27.0,1.215
2011 WQ46,5.208,0.868,0.827,24.1,1.657
2010 RV11,5.209,0.868,0.827,27.0,1.593
2012 JU11,5.211,0.868,0.827,25.0,1.488
2012 UC34,5.211,0.869,0.827,23.0,1.321
2010 NG,5.212,0.869,0.827,25.1,1.533
2007 VT83,5.212,0.869,0.827,24.3,1.301
2011 EM51,5.213,0.869,0.828,21.9,1.321
2012 WM28,5.216,0.869,0.828,25.3,1.214
2007 TG71,5.216,0.869,0.828,26.4,1.317
2010 SX11,5.216,0.869,0.828,24.8,1.159
2006 KQ1,5.216,0.869,0.828,22.0,1.244
2008 EQ7,5.216,0.869,0.828,22.6,1.411
2002 DC3,5.216,0.869,0.828,26.1,1.700
2008 CB6,5.217,0.869,0.828,26.9,1.602
2008 DL4,5.217,0.869,0.828,26.9,0.929
2005 EH94,5.218,0.870,0.828,23.8,1.218
2013 CZ87,5.219,0.870,0.828,26.0,1.619
2002 YO2,5.219,0.870,0.828,22.7,1.501
2009 UK20,5.219,0.870,0.828,26.3,1.054
2008 EY84,5.220,0.870,0.828,26.8,1.031
2009 WP106,5.222,0.870,0.829,25.2,1.396
2012 XH16,5.224,0.871,0.829,22.3,1.631
2011 TH5,5.224,0.871,0.829,26.5,1.490
2011 SE16,5.227,0.871,0.830,24.7,1.503
2005 QP11,5.228,0.871,0.830,26.4,0.976
2007 BF72,5.229,0.871,0.830,19.7,1.433
2009 UD19,5.235,0.872,0.831,24.0,1.657
2010 GC35,5.235,0.872,0.831,24.7,1.208
2010 XU10,5.237,0.873,0.831,27.4,0.945
2005 CN,5.237,0.873,0.831,22.8,1.016
2012 DH54,5.238,0.873,0.832,27.5,0.936
2012 SK50,5.239,0.873,0.832,24.8,1.299
2013 AQ27,5.240,0.873,0.832,24.3,1.645
1999 CQ2,5.240,0.873,0.832,27.3,1.503
2009 JA,5.240,0.873,0.832,25.5,1.423
2012 BA102,5.240,0.873,0.832,26.6,1.546
2008 HB2,5.241,0.873,0.832,25.5,1.688
2005 TG50,5.244,0.874,0.832,24.8,0.924
2007 RU19,5.244,0.874,0.832,26.6,1.716
2008 EJ85,5.245,0.874,0.833,25.1,1.208
2011 ST12,5.245,0.874,0.833,26.4,1.117
1997 WT22,5.247,0.875,0.833,18.8,1.486
2012 GA5,5.248,0.875,0.833,24.2,1.142
2010 TO55,5.249,0.875,0.833,26.5,1.687
2001 QQ142,5.249,0.875,0.833,18.4,1.423
2005 GT,5.249,0.875,0.833,26.9,1.582
1991 TU,5.249,0.875,0.833,28.4,1.401
2009 WO8,5.249,0.875,0.833,27.2,1.552
2001 SW169,5.250,0.875,0.833,19.0,1.248
2012 BO11,5.252,0.875,0.834,26.0,1.391
2010 RJ4,5.253,0.875,0.834,24.0,1.639
2004 JU20,5.254,0.876,0.834,25.3,1.494
2011 YL28,5.256,0.876,0.834,25.0,1.419
2006 BV39,5.257,0.876,0.834,29.1,1.145
2008 PW4,5.259,0.876,0.835,22.4,1.161
2012 CP46,5.260,0.877,0.835,25.8,1.152
2007 TH71,5.260,0.877,0.835,26.5,1.342
2013 FT16,5.260,0.877,0.835,26.3,1.635
2007 VV7,5.260,0.877,0.835,26.8,1.776
2006 WB30,5.261,0.877,0.835,25.9,1.641
2009 RH,5.262,0.877,0.835,23.8,1.247
2009 PR1,5.264,0.877,0.836,24.6,1.489
2008 SY150,5.266,0.878,0.836,24.7,1.385
2013 BH27,5.267,0.878,0.836,26.6,1.761
2005 ND63,5.267,0.878,0.836,26.2,1.360
2004 TO20,5.268,0.878,0.836,23.4,1.439
2004 FJ31,5.270,0.878,0.836,24.4,1.274
2012 SZ49,5.270,0.878,0.837,22.9,1.577
2010 FO,5.271,0.879,0.837,24.0,1.617
2012 KB6,5.272,0.879,0.837,25.0,1.357
2007 RG1,5.272,0.879,0.837,25.8,1.650
2012 MF7,5.273,0.879,0.837,26.9,1.474
2004 MO4,5.273,0.879,0.837,24.9,1.699
2003 TK1,5.274,0.879,0.837,24.4,1.521
2005 QA5,5.274,0.879,0.837,21.2,1.390
2009 WA54,5.275,0.879,0.837,26.8,1.575
1994 UG,5.276,0.879,0.837,21.0,1.238
2005 SD71,5.277,0.879,0.838,23.2,1.543
2008 UR2,5.279,0.880,0.838,27.0,1.420
2009 XR1,5.279,0.880,0.838,29.2,1.671
2010 MY1,5.279,0.880,0.838,23.9,1.213
2000 SB45,5.280,0.880,0.838,24.5,1.559
2000 AG6,5.281,0.880,0.838,25.3,1.017
1998 UM1,5.282,0.880,0.838,23.4,1.695
2011 KE15,5.282,0.880,0.838,26.9,1.702
2012 HD20,5.282,0.880,0.838,22.0,1.181
2009 CR1,5.283,0.880,0.839,24.6,1.712
2002 LJ3,5.283,0.881,0.839,18.3,1.462
2006 BF55,5.283,0.881,0.839,25.7,1.699
1998 HM1,5.284,0.881,0.839,24.4,1.419
2006 OE10,5.285,0.881,0.839,24.8,1.652
2004 TW11,5.286,0.881,0.839,24.0,1.383
2007 BB,5.286,0.881,0.839,27.8,0.932
1999 TV16,5.289,0.882,0.840,23.4,1.575
2009 FX10,5.290,0.882,0.840,24.3,1.200
2002 YG4,5.290,0.882,0.840,24.0,1.462
2003 RD5,5.295,0.883,0.840,23.4,1.398
2004 JA27,5.296,0.883,0.841,19.4,1.666
2000 SZ162,5.296,0.883,0.841,27.3,0.930
2007 WA,5.296,0.883,0.841,24.7,1.035
2007 FO3,5.297,0.883,0.841,24.5,1.272
2009 VR,5.297,0.883,0.841,28.1,1.563
2002 VU114,5.299,0.883,0.841,22.8,1.181
2011 CZ6,5.300,0.883,0.841,25.7,1.794
2012 UF,5.300,0.883,0.841,26.3,1.671
1993 HA,5.302,0.884,0.842,20.0,1.278
2012 BK14,5.303,0.884,0.842,27.4,0.985
2006 AX44,5.304,0.884,0.842,24.8,1.577
2009 QZ34,5.304,0.884,0.842,22.5,1.773
2005 VS,5.305,0.884,0.842,22.2,1.376
2001 CQ36,5.306,0.884,0.842,22.5,0.938
2001 JU2,5.307,0.885,0.842,19.4,1.517
2012 BV1,5.310,0.885,0.843,31.0,1.236
2008 US2,5.313,0.885,0.843,23.8,1.528
2011 HF,5.313,0.885,0.843,20.6,1.283
2010 WU8,5.314,0.886,0.843,24.2,0.960
2007 UR3,5.315,0.886,0.844,21.2,1.560
2007 XA23,5.315,0.886,0.844,23.0,1.606
2006 YE,5.316,0.886,0.844,27.3,1.745
2012 BS1,5.316,0.886,0.844,28.4,1.430
1991 VA,5.317,0.886,0.844,26.5,1.429
2003 UB10,5.317,0.886,0.844,18.3,1.600
2012 CN46,5.318,0.886,0.844,24.7,1.452
2012 UY136,5.321,0.887,0.845,26.6,1.731
2000 LG6,5.321,0.887,0.845,29.0,0.917
2006 CK,5.321,0.887,0.845,25.8,1.082
2011 GE,5.322,0.887,0.845,26.0,1.387
2007 FC,5.324,0.887,0.845,26.1,1.713
2010 CO19,5.324,0.887,0.845,25.7,1.392
2010 AH3,5.324,0.887,0.845,26.3,1.664
2010 TN4,5.326,0.888,0.845,27.5,1.722
2000 YF29,5.328,0.888,0.846,20.3,1.491
2004 UR,5.329,0.888,0.846,23.1,1.559
2007 CQ5,5.329,0.888,0.846,22.1,1.541
2009 DA43,5.330,0.888,0.846,24.6,1.017
2012 XB133,5.330,0.888,0.846,25.1,1.630
2007 PS9,5.331,0.888,0.846,23.6,1.074
1995 HM,5.331,0.889,0.846,23.0,1.460
2012 VL5,5.333,0.889,0.847,28.3,1.817
2010 TS149,5.334,0.889,0.847,20.0,1.498
2013 FX7,5.334,0.889,0.847,21.4,1.265
2012 AQ10,5.334,0.889,0.847,26.7,1.670
2013 GZ7,5.335,0.889,0.847,24.0,1.405
2013 BR18,5.338,0.890,0.847,26.1,1.615
2012 FE,5.339,0.890,0.848,27.0,1.740
2012 UL,5.340,0.890,0.848,25.9,1.795
2000 SS43,5.340,0.890,0.848,24.8,1.733
2006 SV217,5.340,0.890,0.848,24.5,1.309
2006 EW,5.340,0.890,0.848,23.6,1.655
2013 AF4,5.341,0.890,0.848,22.5,1.344
2001 UD18,5.341,0.890,0.848,27.6,1.795
2009 SL104,5.342,0.890,0.848,23.4,1.790
2009 DC45,5.346,0.891,0.849,27.6,1.411
2010 XF3,5.347,0.891,0.849,24.4,0.952
2009 FP29,5.347,0.891,0.849,24.3,1.634
2011 OJ45,5.349,0.891,0.849,26.0,1.017
2010 WA9,5.349,0.892,0.849,25.6,1.225
2011 BY10,5.350,0.892,0.849,27.1,1.594
2008 TN9,5.352,0.892,0.849,27.8,1.198
2013 CG129,5.352,0.892,0.849,24.6,1.390
2007 HF44,5.352,0.892,0.850,19.2,1.600
2013 EM20,5.353,0.892,0.850,19.8,1.372
2006 EC,5.354,0.892,0.850,26.6,1.138
2006 UP,5.354,0.892,0.850,23.0,1.586
1998 HK49,5.354,0.892,0.850,22.3,1.382
2009 TM8,5.355,0.892,0.850,28.4,1.557
2007 HY3,5.358,0.893,0.850,25.6,1.385
2001 UN16,5.358,0.893,0.851,23.4,1.796
2010 UC,5.359,0.893,0.851,27.4,0.939
2008 TE4,5.359,0.893,0.851,24.1,1.467
2013 EQ41,5.360,0.893,0.851,25.5,1.634
2006 KV89,5.361,0.894,0.851,21.3,1.150
2011 MJ,5.361,0.894,0.851,22.8,1.221
2013 DU,5.362,0.894,0.851,23.9,1.757
2010 VB1,5.363,0.894,0.851,23.4,1.135
2007 TZ68,5.363,0.894,0.851,28.3,1.638
2001 GO2,5.364,0.894,0.851,24.3,1.007
2012 RL2,5.364,0.894,0.852,23.6,1.749
2012 DL14,5.365,0.894,0.852,24.0,1.469
2008 CW118,5.366,0.894,0.852,25.0,1.738
2012 BY76,5.368,0.895,0.852,25.5,1.435
2012 XZ132,5.371,0.895,0.853,24.7,1.298
2005 VY1,5.372,0.895,0.853,26.4,1.674
2007 EK,5.372,0.895,0.853,29.3,1.126
2002 TD60,5.373,0.895,0.853,19.3,1.202
2009 EX,5.373,0.895,0.853,23.4,1.668
2011 ES4,5.373,0.895,0.853,25.7,1.091
2013 FG,5.376,0.896,0.853,25.6,1.496
2011 UV63,5.377,0.896,0.853,21.7,1.193
2004 OB,5.379,0.896,0.854,18.8,1.681
1994 CC,5.379,0.896,0.854,17.7,1.638
2010 TH54,5.379,0.897,0.854,23.9,1.490
1999 AO10,5.379,0.897,0.854,23.9,0.912
2010 NN,5.380,0.897,0.854,28.4,1.777
2008 WS62,5.380,0.897,0.854,25.2,1.269
2002 VX91,5.380,0.897,0.854,24.3,0.984
2006 FV,5.381,0.897,0.854,23.1,1.370
2006 KL21,5.381,0.897,0.854,20.9,1.199
2010 VS21,5.382,0.897,0.854,24.1,1.566
2007 JG16,5.382,0.897,0.854,23.6,1.657
2012 XK112,5.383,0.897,0.854,24.2,1.435
2004 SW55,5.383,0.897,0.854,20.7,1.427
2006 UC185,5.383,0.897,0.854,23.4,1.526
2001 CK42,5.383,0.897,0.855,20.0,1.421
2004 GB19,5.384,0.897,0.855,23.0,1.348
2012 VU76,5.386,0.898,0.855,25.7,1.018
2008 RH1,5.386,0.898,0.855,22.6,1.064
2011 UY255,5.386,0.898,0.855,22.9,1.350
2010 HA,5.386,0.898,0.855,23.9,0.960
2012 VC26,5.387,0.898,0.855,28.7,0.952
2011 FR2,5.389,0.898,0.855,25.0,1.402
1973 EC,5.391,0.898,0.856,15.8,1.430
2011 WV95,5.391,0.899,0.856,24.4,1.778
2008 ON8,5.392,0.899,0.856,25.3,1.637
2008 VA4,5.393,0.899,0.856,24.9,1.285
2011 BG59,5.393,0.899,0.856,25.4,1.511
2002 AL31,5.393,0.899,0.856,24.5,1.176
2008 WF14,5.394,0.899,0.856,24.9,1.540
2013 EJ89,5.394,0.899,0.856,24.3,1.515
2008 GR,5.396,0.899,0.856,25.6,1.747
2012 JO4,5.397,0.899,0.857,24.9,1.821
2003 FQ6,5.398,0.900,0.857,21.0,1.371
2009 CR4,5.399,0.900,0.857,21.7,1.754
2003 AS42,5.399,0.900,0.857,25.7,1.501
2012 CR,5.400,0.900,0.857,21.8,1.663
2012 UE34,5.400,0.900,0.857,23.2,1.105
2007 VB3,5.401,0.900,0.857,25.1,1.649
2012 GY11,5.402,0.900,0.857,26.6,1.798
2006 JT41,5.402,0.900,0.858,24.5,1.752
2012 UK,5.407,0.901,0.858,24.6,1.525
2012 CA53,5.407,0.901,0.858,25.7,1.265
2012 OO,5.412,0.902,0.859,20.6,1.697
2010 FG81,5.413,0.902,0.859,23.3,1.660
2004 KZ14,5.414,0.902,0.859,20.7,1.537
2009 TJ4,5.417,0.903,0.860,26.1,1.090
2012 BJ11,5.417,0.903,0.860,22.0,1.739
2009 KY1,5.418,0.903,0.860,23.7,1.148
2012 TZ79,5.418,0.903,0.860,22.5,1.407
2010 FV9,5.418,0.903,0.860,25.4,1.145
2007 FS3,5.418,0.903,0.860,26.1,1.581
2006 FH36,5.419,0.903,0.860,22.9,0.955
2005 ML13,5.419,0.903,0.860,22.4,1.148
2010 KU7,5.419,0.903,0.860,22.2,1.665
2009 KT4,5.420,0.903,0.860,21.8,1.277
2003 BQ35,5.420,0.903,0.860,19.9,1.425
1991 JR,5.422,0.904,0.861,23.4,1.401
2012 UY9,5.423,0.904,0.861,24.3,1.490
2011 AB37,5.424,0.904,0.861,25.9,1.114
2010 CJ18,5.425,0.904,0.861,26.8,1.198
2010 CS19,5.426,0.904,0.861,28.0,1.742
2007 UB2,5.429,0.905,0.862,21.5,1.455
2004 AE6,5.429,0.905,0.862,24.4,1.492
2004 FB18,5.429,0.905,0.862,24.0,1.666
2011 CE66,5.430,0.905,0.862,25.6,1.294
2012 VP6,5.430,0.905,0.862,24.2,1.277
2008 SV7,5.431,0.905,0.862,21.6,1.626
2012 ER14,5.433,0.905,0.862,20.3,1.639
2004 TF10,5.433,0.906,0.862,20.8,1.420
1989 VB,5.433,0.906,0.862,19.7,1.863
2010 UP7,5.433,0.906,0.862,25.8,1.452
2010 GQ33,5.434,0.906,0.863,25.9,1.832
1999 DB7,5.435,0.906,0.863,20.0,1.206
2013 BT15,5.436,0.906,0.863,27.3,1.726
2002 RP28,5.436,0.906,0.863,21.2,1.662
2008 HA2,5.437,0.906,0.863,24.4,1.767
2010 FN,5.438,0.906,0.863,26.6,0.990
2005 YD,5.440,0.907,0.864,24.5,1.653
2011 XD1,5.443,0.907,0.864,23.9,1.815
2010 XH,5.443,0.907,0.864,23.7,1.354
2012 DS30,5.445,0.907,0.864,26.0,1.093
2007 WU3,5.450,0.908,0.865,23.4,1.011
2002 GT,5.450,0.908,0.865,18.5,1.345
2012 EB2,5.452,0.909,0.865,24.7,1.784
2012 HQ2,5.453,0.909,0.865,24.1,1.767
2004 BH11,5.453,0.909,0.866,24.1,1.266
2008 YV32,5.453,0.909,0.866,26.3,1.530
2007 RC20,5.453,0.909,0.866,26.6,0.957
2010 CF19,5.454,0.909,0.866,21.9,1.194
2011 WC39,5.458,0.910,0.866,23.1,1.483
2009 TP,5.459,0.910,0.867,23.6,1.029
2009 UA,5.460,0.910,0.867,23.7,1.707
2012 CN2,5.460,0.910,0.867,25.4,1.339
2005 UR64,5.463,0.910,0.867,23.6,1.697
2011 UJ169,5.464,0.911,0.867,25.2,1.330
2012 TF53,5.464,0.911,0.867,21.2,1.426
2008 GE128,5.464,0.911,0.867,25.8,1.821
2012 XQ2,5.464,0.911,0.867,26.2,1.480
2011 WB,5.464,0.911,0.867,25.9,1.760
1999 VG22,5.466,0.911,0.868,18.6,1.647
2009 CO5,5.467,0.911,0.868,21.8,1.657
2005 ED318,5.467,0.911,0.868,20.8,1.849
2006 SO77,5.467,0.911,0.868,26.5,1.817
2006 WQ29,5.467,0.911,0.868,18.2,1.601
2010 EN44,5.469,0.911,0.868,24.3,1.145
2009 WX7,5.470,0.912,0.868,26.9,1.822
2004 HH20,5.470,0.912,0.868,25.1,1.781
2007 PQ9,5.472,0.912,0.869,22.2,1.427
2013 EC68,5.472,0.912,0.869,24.1,1.542
2011 DS,5.472,0.912,0.869,26.9,1.035
2009 CR,5.472,0.912,0.869,25.7,1.715
2005 SQ1,5.473,0.912,0.869,25.3,1.736
2011 WO46,5.473,0.912,0.869,24.9,1.528
2008 JR14,5.473,0.912,0.869,25.0,1.646
2009 VK24,5.475,0.913,0.869,24.1,1.747
1999 SH10,5.476,0.913,0.869,22.4,1.098
2010 WR7,5.476,0.913,0.869,23.5,1.046
2013 AM20,5.478,0.913,0.870,23.5,1.391
2007 LF,5.478,0.913,0.870,20.5,1.683
2008 UC202,5.479,0.913,0.870,28.3,1.009
2012 DU60,5.481,0.914,0.870,25.4,1.786
2013 BF27,5.482,0.914,0.870,21.5,1.378
2011 ET20,5.483,0.914,0.870,25.0,1.686
2012 XQ55,5.483,0.914,0.870,23.0,1.660
2013 CU83,5.486,0.914,0.871,21.4,1.284
2001 AE2,5.486,0.914,0.871,19.1,1.350
2006 SR134,5.486,0.914,0.871,23.1,1.883
2006 SY5,5.487,0.914,0.871,22.1,1.043
2009 SQ171,5.488,0.915,0.871,25.7,1.528
2010 UX7,5.488,0.915,0.871,21.1,1.656
2011 BN24,5.490,0.915,0.871,20.9,1.545
1982 XB,5.490,0.915,0.871,18.9,1.835
2006 AN8,5.491,0.915,0.872,24.4,1.520
2005 YN128,5.491,0.915,0.872,24.1,1.646
2006 BF,5.491,0.915,0.872,23.6,1.472
2006 TD,5.493,0.916,0.872,22.4,1.593
2005 XO66,5.495,0.916,0.872,24.6,1.663
2012 WK4,5.496,0.916,0.872,21.3,1.205
2006 GB1,5.497,0.916,0.872,23.6,1.134
2008 YN2,5.497,0.916,0.873,26.3,1.038
2013 BA74,5.497,0.916,0.873,25.5,1.759
2006 WP3,5.499,0.916,0.873,23.4,1.357
2010 VW194,5.500,0.917,0.873,26.5,1.822
2008 CE22,5.501,0.917,0.873,26.4,1.221
2006 VP13,5.502,0.917,0.873,23.6,1.176
2008 EG9,5.503,0.917,0.874,25.2,1.402
2009 HL21,5.504,0.917,0.874,22.5,1.663
2003 PN5,5.505,0.917,0.874,23.2,1.435
2004 RC11,5.505,0.917,0.874,23.6,1.825
1990 MF,5.505,0.918,0.874,18.7,1.746
2001 BA16,5.506,0.918,0.874,26.0,0.940
2009 WW7,5.506,0.918,0.874,28.9,1.091
2011 UL169,5.506,0.918,0.874,28.3,1.461
2009 BG81,5.507,0.918,0.874,27.9,1.793
1996 FT1,5.508,0.918,0.874,24.4,1.457
2011 FS9,5.508,0.918,0.874,23.6,1.038
2008 CE6,5.508,0.918,0.874,23.4,1.900
2001 TE2,5.509,0.918,0.874,20.0,1.083
2010 FW9,5.509,0.918,0.874,26.7,1.651
2010 AL2,5.509,0.918,0.875,26.7,1.755
2010 WT8,5.510,0.918,0.875,21.5,1.152
1997 XR2,5.511,0.918,0.875,20.9,1.077
2008 GQ,5.512,0.919,0.875,24.9,1.701
2005 LD,5.513,0.919,0.875,23.0,1.547
2002 AW,5.514,0.919,0.875,20.7,1.070
2007 FY20,5.514,0.919,0.875,24.8,1.457
2004 BJ11,5.515,0.919,0.875,21.7,1.750
2007 RH1,5.516,0.919,0.876,22.6,1.415
2001 PG14,5.517,0.919,0.876,22.5,1.474
2003 RB,5.518,0.920,0.876,18.7,1.790
2013 CR35,5.519,0.920,0.876,22.4,1.639
2008 FJ7,5.519,0.920,0.876,25.9,1.133
2008 DW22,5.519,0.920,0.876,25.6,1.750
2011 EL17,5.519,0.920,0.876,26.9,1.521
2011 AG5,5.521,0.920,0.876,21.8,1.431
2009 SA100,5.521,0.920,0.876,23.9,1.142
2002 OD20,5.523,0.920,0.877,18.8,1.364
2004 FK2,5.525,0.921,0.877,24.3,1.333
2006 SQ134,5.526,0.921,0.877,24.7,1.243
2009 QC36,5.526,0.921,0.877,22.0,1.493
2012 VN76,5.527,0.921,0.877,27.8,1.900
2007 YM56,5.528,0.921,0.878,22.4,1.247
2007 HZ,5.529,0.922,0.878,20.3,1.329
2012 TR146,5.530,0.922,0.878,23.7,1.570
2008 TZ3,5.531,0.922,0.878,20.4,1.594
2003 GD42,5.531,0.922,0.878,24.7,1.295
2010 WJ1,5.532,0.922,0.878,25.2,1.862
2011 DR,5.534,0.922,0.878,25.8,1.183
2006 BW7,5.535,0.922,0.879,26.5,1.480
2007 DG8,5.535,0.922,0.879,25.3,1.357
2008 EQ,5.535,0.922,0.879,24.1,1.753
2006 CL,5.536,0.923,0.879,25.4,1.663
2007 BZ48,5.536,0.923,0.879,26.0,1.785
2009 WN106,5.537,0.923,0.879,24.8,1.474
2006 LM,5.537,0.923,0.879,25.0,1.713
2010 TR54,5.537,0.923,0.879,24.5,1.713
2007 XB23,5.537,0.923,0.879,27.1,1.041
2011 WU95,5.538,0.923,0.879,19.2,1.666
2008 WC,5.538,0.923,0.879,26.5,1.743
2012 BN11,5.538,0.923,0.879,20.7,1.457
2012 MQ3,5.540,0.923,0.879,22.2,1.366
1982 HR,5.541,0.924,0.880,19.0,1.210
2010 LE68,5.542,0.924,0.880,25.9,1.411
2009 JE1,5.544,0.924,0.880,26.8,1.410
2002 XV90,5.544,0.924,0.880,25.5,1.578
2011 UK21,5.544,0.924,0.880,25.2,1.708
2012 AC3,5.544,0.924,0.880,23.0,1.702
2011 WQ4,5.545,0.924,0.880,27.4,1.807
2009 DU10,5.545,0.924,0.880,26.9,1.485
2011 UB,5.546,0.924,0.880,27.5,1.927
2011 UY114,5.546,0.924,0.880,23.4,1.184
2002 AT4,5.548,0.925,0.881,21.2,1.867
2010 FQ,5.549,0.925,0.881,20.0,1.527
2008 YC33,5.550,0.925,0.881,24.3,1.335
2005 SK26,5.551,0.925,0.881,25.5,1.789
2006 TC1,5.552,0.925,0.881,18.9,1.720
2013 CV129,5.552,0.925,0.881,24.6,1.745
2009 DM40,5.553,0.925,0.881,26.8,1.332
2013 GQ38,5.553,0.926,0.881,23.3,1.746
